name,team,GW,predicted_clean_sheets
Bart Verbruggen,Brighton,25,0.6
Adam Webster,Brighton,25,0.6
Joël Veltman,Brighton,25,0.6
Amadou Onana,Aston Villa,25,0.6
Pervis Estupiñán,Brighton,25,0.6
Mitoma Kaoru,Brighton,25,0.6
Simon Adingra,Brighton,25,0.6
Yasin Ayari,Brighton,25,0.6
Jacob Ramsey,Aston Villa,25,0.6
Ollie Watkins,Aston Villa,25,0.599187723678481
Tyrone Mings,Aston Villa,25,0.5975686657398688
Lucas Digne,Aston Villa,25,0.5951305444504605
Youri Tielemans,Aston Villa,25,0.5903572707936595
Morgan Rogers,Aston Villa,25,0.5898292495346985
João Pedro Junqueira de Jesus,Brighton,25,0.5880115680928887
Emiliano Martínez Romero,Aston Villa,25,0.5879077054325383
Matt O'Riley,Brighton,25,0.5858424274579352
Matty Cash,Aston Villa,25,0.5836796049273322
Carlos Baleba,Brighton,25,0.5826260224539613
Mateo Kovačić,Man City,25,0.5799475475593195
Jan Paul van Hecke,Brighton,25,0.5773726534919256
Boubacar Kamara,Aston Villa,25,0.5765923639098398
Ezri Konsa Ngoyo,Aston Villa,25,0.5701052300886723
Will Hughes,Crystal Palace,25,0.47977690527728867
Eberechi Eze,Crystal Palace,25,0.4793799544589671
Martin Dúbravka,Newcastle,25,0.4746541448850725
Ismaïla Sarr,Crystal Palace,25,0.47429074797950144
Maxence Lacroix,Crystal Palace,25,0.46856201501632183
Daniel Muñoz,Crystal Palace,25,0.46591045005099435
Chris Richards,Crystal Palace,25,0.46168182170330785
Lewis Hall,Newcastle,25,0.4600893792120052
Jean-Philippe Mateta,Crystal Palace,25,0.4579889616729285
Anthony Gordon,Newcastle,25,0.4545344576894234
Dan Burn,Newcastle,25,0.4540421649157852
Sven Botman,Newcastle,25,0.4538696454837681
Bruno Guimarães Rodriguez Moura,Newcastle,25,0.45278647286115503
Sandro Tonali,Newcastle,25,0.446188943736165
Alexander Isak,Newcastle,25,0.442248898361291
Cheick Doucouré,Crystal Palace,25,0.4376723560520494
Marc Guéhi,Crystal Palace,25,0.4371925368452244
Joelinton Cássio Apolinário de Lira,Newcastle,25,0.4358621445049946
Tyrick Mitchell,Crystal Palace,25,0.4305631136228486
Jacob Murphy,Newcastle,25,0.4295995989759647
Tino Livramento,Newcastle,25,0.4218532957366219
Dean Henderson,Crystal Palace,25,0.42146807036948103
Erling Haaland,Man City,25,0.3790333780847831
Nathan Butler-Oyedeji,Arsenal,25,0.3789439147482707
Mohamed Salah,Liverpool,25,0.37844244409014427
Álex Moreno Lopera,Aston Villa,25,0.3783595658577125
James Milner,Brighton,25,0.3782671924080446
Solly March,Brighton,25,0.3782325142940416
Jacob Slater,Brighton,25,0.3779106242382481
Benicio Baker-Boaitey,Brighton,25,0.37750471999222973
Ilkay Gündogan,Man City,25,0.3774327349904524
William Saliba,Arsenal,25,0.3770913184615536
Sepp van den Berg,Liverpool,25,0.37652386934490617
Sil Swinkels,Aston Villa,25,0.3763759408371361
Jack Hinshelwood,Brighton,25,0.37631300696961745
Norberto Murara Neto,Arsenal,25,0.37582630593987376
Enzo Barrenechea,Aston Villa,25,0.3755919442958669
Leon Bailey,Aston Villa,25,0.37548479206402574
Evan Ferguson,Brighton,25,0.37537887339561504
Rodrigo 'Rodri' Hernandez,Man City,25,0.3750440298204491
João Cavaco Cancelo,Man City,25,0.37444317578177855
Ross Barkley,Aston Villa,25,0.3735257470074494
Myles Lewis-Skelly,Arsenal,25,0.3731338576071619
John Stones,Man City,25,0.3724287966619535
Amara Nallo,Liverpool,25,0.37230943010687995
Ederson Santana de Moraes,Man City,25,0.3721049677824937
Andrew Moran,Brighton,25,0.3714782876245416
Eddie Nketiah,Arsenal,25,0.3714698817429139
Fábio Ferreira Vieira,Arsenal,25,0.37125630309821134
Manuel Akanji,Man City,25,0.3709381785305553
Raheem Sterling,Arsenal,25,0.3708739321266306
Joško Gvardiol,Man City,25,0.370767083606878
Ibrahim Osman,Brighton,25,0.37061354200359403
Tommy Setford,Arsenal,25,0.3703775091163357
Ian Maatsen,Aston Villa,25,0.3702436727253033
Nico O'Reilly,Man City,25,0.3701544374908896
Alexis Mac Allister,Liverpool,25,0.3701366956820974
Lamare Bogarde,Aston Villa,25,0.3685926214062913
Alisson Ramses Becker,Liverpool,25,0.36827003124353874
Yankuba Minteh,Brighton,25,0.36818906634990284
Jack Grealish,Man City,25,0.3680405356643548
Kadan Young,Aston Villa,25,0.36786410788346274
Benjamin White,Arsenal,25,0.3678154955810496
Kyle Walker,Man City,25,0.36732693035574027
Divin Mubama,Man City,25,0.36644017119061156
Joe Gomez,Liverpool,25,0.36442599146516874
Ayden Heaven,Arsenal,25,0.36422022092583495
Mahmoud Dahoud,Brighton,25,0.3638160819322071
Issa Kaboré,Man City,25,0.3637990468485012
Robin Olsen,Aston Villa,25,0.36359510362868747
Leander Dendoncker,Aston Villa,25,0.36320105321816587
Ferdi Kadioglu,Brighton,25,0.3631329344342976
Tariq Lamptey,Brighton,25,0.3627551152269562
Lewis Dobbin,Aston Villa,25,0.3626216204557884
Jorge Luiz Frello Filho,Arsenal,25,0.3624530326312911
Danny Welbeck,Brighton,25,0.361855983879651
Tomiyasu Takehiro,Arsenal,25,0.3615247259591125
Trent Alexander-Arnold,Liverpool,25,0.3614559130429084
Mats Wieffer,Brighton,25,0.36024435722365444
Julio Enciso,Brighton,25,0.35983142971751997
Kevin De Bruyne,Man City,25,0.3595189550906749
Lewis Dunk,Brighton,25,0.3592438570558802
Brajan Gruda,Brighton,25,0.35915734531711296
Phil Foden,Man City,25,0.35873295530811605
Jarell Quansah,Liverpool,25,0.3584194886136394
Mikel Merino,Arsenal,25,0.3581595676351564
Kosta Nedeljković,Aston Villa,25,0.3579509075733219
Rhys Williams,Liverpool,25,0.3578112057930927
Jaden Philogene,Aston Villa,25,0.3572670217959645
Jason Steele,Brighton,25,0.35669317493663133
Emiliano Buendía Stati,Aston Villa,25,0.3561413015684746
Jahmai Simpson-Pusey,Man City,25,0.3560587757443715
Bobby Clark,Liverpool,25,0.35546776430503085
Riccardo Calafiori,Arsenal,25,0.3549080373972674
Jakub Moder,Brighton,25,0.35481246256062526
Imari Samuels,Brighton,25,0.3543551170636094
Kai Havertz,Arsenal,25,0.35403195092274614
Amario Cozier-Duberry,Brighton,25,0.3534978558872172
Cody Gakpo,Liverpool,25,0.35319644624774205
Nathan Aké,Man City,25,0.35215971874936147
Jakub Kiwior,Arsenal,25,0.35194957597084164
Diego Carlos Santos Silva,Aston Villa,25,0.35180477384546716
Samuel Iling-Junior,Aston Villa,25,0.3515564177297149
Bernardo Veiga de Carvalho e Silva,Man City,25,0.3513193480132501
Ben Doak,Liverpool,25,0.3511616206932913
Jacob Wright,Man City,25,0.35046004200232944
Gabriel Fernando de Jesus,Arsenal,25,0.3502346751628017
Reiss Nelson,Arsenal,25,0.3499685866596917
James McConnell,Liverpool,25,0.34971055408057705
Killian Cahill,Brighton,25,0.3496892339895892
Caoimhin Kelleher,Liverpool,25,0.3488166952990776
Ben Broggio,Aston Villa,25,0.3485804304929664
Ethan Nwaneri,Arsenal,25,0.3479828649057517
Rico Lewis,Man City,25,0.34708095339515643
Deniz Undav,Brighton,25,0.3468793600713164
Odeluga Offiah,Brighton,25,0.34634271513293036
Carl Rushworth,Brighton,25,0.34600041825740563
Kacper Kozłowski,Brighton,25,0.34597773978527735
Maldini Kacurri,Arsenal,25,0.34524547072024186
Ibrahima Konaté,Liverpool,25,0.3450168251079426
Bukayo Saka,Arsenal,25,0.34453417057764596
Harvey Davies,Liverpool,25,0.34379578744659073
Lino da Cruz Sousa,Aston Villa,25,0.3435338740251379
David Raya Martin,Arsenal,25,0.34325263794826794
Tyler Morton,Liverpool,25,0.34202841351947766
Aaron Ramsdale,Arsenal,25,0.34144146054693686
Kaine Kesler-Hayden,Aston Villa,25,0.34029473935062937
Diego Gómez,Brighton,25,0.33903928726372184
Sávio 'Savinho' Moreira de Oliveira,Man City,25,0.33903837675643544
Luis Díaz,Liverpool,25,0.3389828087245842
Igor Julio dos Santos de Paulo,Brighton,25,0.33880308654782915
Julián Álvarez,Man City,25,0.33838788196406666
Vítezslav Jaros,Liverpool,25,0.33800912762744223
James McAtee,Man City,25,0.33790835514235745
John McGinn,Aston Villa,25,0.3378719548946384
Salah-Eddine Oulad M'hand,Arsenal,25,0.33777723065316345
Endo Wataru,Liverpool,25,0.3370770636922893
Karl Hein,Arsenal,25,0.3363615183625849
Jhon Durán,Aston Villa,25,0.3363341536358331
Oscar Bobb,Man City,25,0.33551824125705376
Jérémy Doku,Man City,25,0.33522422467978163
Jeremy Sarmiento Morante,Brighton,25,0.33509371306906094
Scott Carson,Man City,25,0.33498346080141367
Harvey Elliott,Liverpool,25,0.3343107493493182
Josh Nichols,Arsenal,25,0.3339871742531504
Gabriel Martinelli Silva,Arsenal,25,0.33363929628482886
Josh Wilson-Esbrand,Man City,25,0.33331011340961764
Max Alleyne,Man City,25,0.3322941525600535
Valentín Barco,Brighton,25,0.3322295498382825
Spike Brits,Man City,25,0.3318175783496475
Mark O’Mahony,Brighton,25,0.3315027493091859
Jayden Danns,Liverpool,25,0.33144389796160934
Matheus Luiz Nunes,Man City,25,0.3305947131464568
Conor Bradley,Liverpool,25,0.33051985381828125
Jurriën Timber,Arsenal,25,0.33015280759199217
Darwin Núñez Ribeiro,Liverpool,25,0.32989214793100863
Ismeal Kabia,Arsenal,25,0.3297741648916524
Adrian Mazilu,Brighton,25,0.32959497425073325
Stefan Ortega Moreno,Man City,25,0.32955871355755045
Moussa Diaby,Aston Villa,25,0.32952991413064664
Pascal Groß,Brighton,25,0.3295088093259148
Federico Chiesa,Liverpool,25,0.3293239715826636
Thomas Partey,Arsenal,25,0.32924388051615217
Georginio Rutter,Brighton,25,0.32847923114162225
Dominik Szoboszlai,Liverpool,25,0.32834286510882504
Filip Marschall,Aston Villa,25,0.3281389113244969
Declan Rice,Arsenal,25,0.32778686932344137
Curtis Jones,Liverpool,25,0.32767652429846605
Virgil van Dijk,Liverpool,25,0.3274490467171084
Stefan Bajčetić Maquieira,Liverpool,25,0.32714031764223783
Martin Ødegaard,Arsenal,25,0.326927722311564
Treymaurice Nyoni,Liverpool,25,0.3263886856861116
Kieran Tierney,Arsenal,25,0.3261205336220139
Konstantinos Tsimikas,Liverpool,25,0.3256600796780223
Jamaldeen Jimoh,Aston Villa,25,0.32560432918448445
Leandro Trossard,Arsenal,25,0.3251623613984536
Nathaniel Phillips,Liverpool,25,0.3250749475126065
Viljami Sinisalo,Aston Villa,25,0.32485722660045296
Pau Torres,Aston Villa,25,0.32477012250649107
Rúben Gato Alves Dias,Man City,25,0.3246306955984604
Kortney Hause,Aston Villa,25,0.3244764378751451
Gabriel dos Santos Magalhães,Arsenal,25,0.3240692503347462
Billy Gilmour,Brighton,25,0.3230365007524503
Cameron Peupion,Brighton,25,0.32270127850942293
Andrew Robertson,Liverpool,25,0.32258823693873345
Ruairi McConville,Brighton,25,0.3221011397006725
Oleksandr Zinchenko,Arsenal,25,0.32207757671703213
Joe Gauci,Aston Villa,25,0.32198008411007745
Oliwier Zych,Aston Villa,25,0.32107679432699393
Diogo Teixeira da Silva,Liverpool,25,0.3203375476518315
Ryan Gravenberch,Liverpool,25,0.3201398238343603
Tyler Dibling,Southampton,25,0.3155617894972749
Joe Aribo,Southampton,25,0.2846190460718544
Mateus Gonçalo Espanha Fernandes,Southampton,25,0.2704389513911306
Dominic Solanke-Mitchell,Spurs,25,0.22984887265815707
João Félix Sequeira,Chelsea,25,0.22971052028965655
Pablo Sarabia,Wolves,25,0.22929993578632116
Luke Shaw,Man Utd,25,0.22881872532016082
Ethan Pinnock,Brentford,25,0.22875413802900096
George Earthy,West Ham,25,0.22819260701171973
Franco Umeh-Chibueze,Crystal Palace,25,0.22801838975740268
Samuel Amissah,Fulham,25,0.2279695224267605
Sean Longstaff,Newcastle,25,0.2278878544764565
Ryan Trevitt,Brentford,25,0.22786110814197555
Yves Bissouma,Spurs,25,0.22784398986693602
Harvey Barnes,Newcastle,25,0.22773355770533477
Yehor Yarmoliuk,Brentford,25,0.22760217152563933
Raúl Jiménez,Fulham,25,0.2273681435435183
Ângelo Gabriel Borges Damaceno,Chelsea,25,0.22707717188073842
Tyrell Malacia,Man Utd,25,0.22702788059798643
Richarlison de Andrade,Spurs,25,0.22661764759107927
Wayne Hennessey,Nott'm Forest,25,0.22647470866772787
Christian Nørgaard,Brentford,25,0.22640621939907724
Ashley Phillips,Spurs,25,0.2262397265044284
Altay Bayindir,Man Utd,25,0.22615090054047726
Naouirou Ahamada,Crystal Palace,25,0.22607757443636015
Adama Traoré,Fulham,25,0.22598897119653327
Harry Amass,Man Utd,25,0.22573571783117932
Malang Sarr,Chelsea,25,0.22555404495418124
Marc Cucurella Saseta,Chelsea,25,0.22529813092016532
Ryan Yates,Nott'm Forest,25,0.22513762140270577
João Victor Gomes da Silva,Wolves,25,0.22499574021906912
Morgan Gibbs-White,Nott'm Forest,25,0.22427453805650327
João Pedro Ferreira Silva,Nott'm Forest,25,0.22418226931453428
Ivan Toney,Brentford,25,0.22410105814628145
Matheus França de Oliveira,Crystal Palace,25,0.22405320503222736
Godwill Kukonki,Man Utd,25,0.2236423501705035
Jonny Evans,Man Utd,25,0.22356325245560793
Jadon Sancho,Man Utd,25,0.22339093575766675
Rodrigo Muniz Carvalho,Fulham,25,0.22328178662241963
Pedro Lomba Neto,Chelsea,25,0.22297152568128353
Hwang Ui-jo,Nott'm Forest,25,0.22251756538075104
Matz Sels,Nott'm Forest,25,0.222499974267226
Edson Álvarez Velázquez,West Ham,25,0.22232465966409162
Son Heung-min,Spurs,25,0.22133664088911864
Gonçalo Manuel Ganchinho Guedes,Wolves,25,0.22111651210082317
Radu Drăgușin,Spurs,25,0.2210120902173618
Ben Mee,Brentford,25,0.22097259864235985
Jamal Lewis,Newcastle,25,0.2208285556524202
Kepa Arrizabalaga,Chelsea,25,0.22072748761255956
James Ward-Prowse,Nott'm Forest,25,0.22065074750659103
Eddie Nketiah,Crystal Palace,25,0.22062838024503745
Malcolm Ebiowei,Crystal Palace,25,0.2206265187431451
Nathaniel Clyne,Crystal Palace,25,0.22033947797181896
Sander Berge,Fulham,25,0.22023816298380233
Vladimír Coufal,West Ham,25,0.22021209037759937
José Malheiro de Sá,Wolves,25,0.2201099485428385
Kim Ji-soo,Brentford,25,0.21982081627009342
Ola Aina,Nott'm Forest,25,0.21970325193985787
Noni Madueke,Chelsea,25,0.21964680379785892
Dejan Kulusevski,Spurs,25,0.21952767354001443
Antony Matheus dos Santos,Man Utd,25,0.21930971165092886
Samuel Rak-Sakyi,Chelsea,25,0.21925092894095508
Daichi Kamada,Crystal Palace,25,0.21923755587396335
Scott McTominay,Man Utd,25,0.2189456973787929
Crysencio Summerville,West Ham,25,0.21876764648268263
Marcus Bettinelli,Chelsea,25,0.21870109457147485
Joe Hodge,Wolves,25,0.218658594075341
Guido Rodríguez,West Ham,25,0.21842336194904172
Andrew Omobamidele,Nott'm Forest,25,0.21827464965992488
Joachim Andersen,Crystal Palace,25,0.21825047723034363
Harry Toffolo,Nott'm Forest,25,0.21804287845705753
Jørgen Strand Larsen,Wolves,25,0.21795151820216885
Sepp van den Berg,Brentford,25,0.2179367357497621
Issa Diop,Fulham,25,0.2175359791253707
Niclas Füllkrug,West Ham,25,0.2174826309727178
Toby Collyer,Man Utd,25,0.21743477313021317
Mykhailo Mudryk,Chelsea,25,0.2173059225543063
Rico Henry,Brentford,25,0.21716019589201532
Callum Wilson,Newcastle,25,0.21684895244350214
James Ward-Prowse,West Ham,25,0.21612873110556488
William Osula,Newcastle,25,0.216040917235935
Cristian Romero,Spurs,25,0.21601626210317945
Tosin Adarabioyo,Chelsea,25,0.21590074766904813
Lesley Ugochukwu,Chelsea,25,0.21531634017041232
Ollie Scarles,West Ham,25,0.21521522296852827
David Datro Fofana,Chelsea,25,0.21499746717277082
Zach Marsh,Crystal Palace,25,0.21494194624530635
Mario Lemina,Wolves,25,0.2148851994823502
Trevoh Chalobah,Crystal Palace,25,0.21480479578602715
Nayef Aguerd,West Ham,25,0.21471464163737095
Luke Cundle,Wolves,25,0.21470035080822336
Alfie Devine,Spurs,25,0.21428875850839937
Frank Onyeka,Brentford,25,0.21388938629083515
Rasmus Højlund,Man Utd,25,0.21379023607565928
Nicolás Domínguez,Nott'm Forest,25,0.2137713632670133
Victor Lindelöf,Man Utd,25,0.21359262699698137
Benjamin Arthur,Brentford,25,0.21357352752699596
Yoane Wissa,Brentford,25,0.21308660669142065
Yerson Mosquera,Wolves,25,0.21292741478749366
Reece James,Chelsea,25,0.21277044451214888
Kobbie Mainoo,Man Utd,25,0.21276719074143782
Omar Richards,Nott'm Forest,25,0.21264314796840053
Callum Olusesi,Spurs,25,0.2123449491505622
Wilson Odobert,Spurs,25,0.21213062128323157
David Ozoh,Crystal Palace,25,0.2120751703010505
Fraser Forster,Spurs,25,0.2119024185190519
Aaron Cresswell,West Ham,25,0.21175857252382568
Robert Sánchez,Chelsea,25,0.21169340567250827
Yunus Emre Konak,Brentford,25,0.21146479991376144
Josh Dasilva,Brentford,25,0.2113370919749139
Hwang Hee-chan,Wolves,25,0.21115487838799712
Wes Okoduwa,Wolves,25,0.21081281420831108
Moisés Caicedo Corozo,Chelsea,25,0.2107564864099428
Ibrahim Sangaré,Nott'm Forest,25,0.2105365767092928
Carlos Henrique Casimiro,Man Utd,25,0.21050262171920175
Ki-Jana Hoever,Wolves,25,0.20991145251647303
Alejandro Garnacho,Man Utd,25,0.20984524919485376
Emmanuel Agbadou,Wolves,25,0.2096836828505748
Keane Lewis-Potter,Brentford,25,0.2091918185408936
Jay Stansfield,Fulham,25,0.20916385007060667
Romelu Lukaku Bolingoli,Chelsea,25,0.20908002387908492
Enso González,Wolves,25,0.20900891746787997
Mathias Jorgensen,Brentford,25,0.2089536972531152
Pedro Porro,Spurs,25,0.20857592710072748
Tawanda Chirewa,Wolves,25,0.2085069772380847
Caleb Kporha,Crystal Palace,25,0.20821879687434797
Asher Agbinone,Crystal Palace,25,0.2080579148181923
Alfie Dorrington,Spurs,25,0.20805085404644894
Ben Davies,Spurs,25,0.20804984011768518
Marc Guiu Paz,Chelsea,25,0.2080462250926706
Harry Wilson,Fulham,25,0.20798175340986524
Jeffrey Schlupp,Crystal Palace,25,0.20787667278489733
Chris Wood,Nott'm Forest,25,0.20709935584906286
Jean-Clair Todibo,West Ham,25,0.20655294193460377
Deivid Washington de Souza Eugênio,Chelsea,25,0.2060949850156147
Brennan Johnson,Spurs,25,0.20587785666739145
Ramón Sosa,Nott'm Forest,25,0.20569697525209524
Eric da Silva Moreira,Nott'm Forest,25,0.20546471293469665
Lisandro Martínez,Man Utd,25,0.2053648714486098
Alphonse Areola,West Ham,25,0.20522490759394169
Kaden Rodney,Crystal Palace,25,0.2052094204902185
Emerson Leite de Souza Junior,Spurs,25,0.20491609576874378
Łukasz Fabiański,West Ham,25,0.20485306866124475
Josh Acheampong,Chelsea,25,0.20469306397151005
Destiny Udogie,Spurs,25,0.2046153035601629
